Date,Close,开盘,高,低,交易量,涨跌幅
2/1/2008,75.97,76.35,76.65,75.9,,-0.94%
3/1/2008,75.89,75.99,76.16,75.71,,-0.11%
4/1/2008,75.79,75.95,76.08,75.43,,-0.13%
7/1/2008,76.17,76.05,76.34,75.85,,0.50%
8/1/2008,76.11,76.1,76.25,75.95,,-0.08%
9/1/2008,76.42,76.08,76.5,76.05,,0.41%
10/1/2008,75.93,76.4,76.52,75.83,,-0.64%
11/1/2008,75.98,75.89,76.06,75.79,,0.07%
14/1/2008,75.61,75.61,75.99,75.36,,-0.49%
15/1/2008,75.57,75.48,75.79,75.2,,-0.05%
16/1/2008,76.26,75.54,76.46,75.43,,0.91%
17/1/2008,76.17,76.19,76.52,75.96,,-0.12%
18/1/2008,76.38,76.3,76.49,76.14,,0.28%
21/1/2008,76.87,76.66,77.07,76.39,,0.64%
22/1/2008,76.35,77.11,77.35,76.25,,-0.68%
23/1/2008,76.4,76.28,76.65,76.25,,0.07%
24/1/2008,75.69,76.31,76.44,75.62,,-0.93%
25/1/2008,75.97,75.75,76.04,75.63,,0.37%
28/1/2008,75.58,75.94,76.02,75.48,,-0.51%
29/1/2008,75.55,75.56,75.69,75.47,,-0.04%
30/1/2008,75.03,75.5,75.59,74.99,,-0.69%
31/1/2008,75.18,75.1,75.45,74.97,,0.20%
1/2/2008,75.44,75.23,75.57,74.85,,0.35%
4/2/2008,75.37,75.44,75.55,75.28,,-0.09%
5/2/2008,76.12,75.43,76.2,75.34,,1.00%
6/2/2008,76.14,76.09,76.32,75.99,,0.03%
7/2/2008,76.94,76.15,77.04,76.09,,1.05%
8/2/2008,76.67,76.76,76.97,76.5,,-0.35%
11/2/2008,76.58,76.45,76.71,76.32,,-0.12%
12/2/2008,76.31,76.47,76.67,76.2,,-0.35%
13/2/2008,76.4,76.39,76.61,76.28,,0.12%
14/2/2008,76.16,76.42,76.51,76.07,,-0.31%
15/2/2008,76.1,76.05,76.17,75.85,,-0.08%
18/2/2008,76.26,76.07,76.42,76.01,,0.21%
19/2/2008,76,76.02,76.32,75.81,,-0.34%
20/2/2008,76.12,76.11,76.53,75.99,,0.16%
21/2/2008,75.6,76.07,76.16,75.48,,-0.68%
22/2/2008,75.52,75.64,75.71,75.36,,-0.11%
25/2/2008,75.53,75.53,75.68,75.44,,0.01%
26/2/2008,74.76,75.57,75.69,74.51,,-1.02%
27/2/2008,74.21,74.54,74.74,74.07,,-0.74%
28/2/2008,73.72,74.26,74.37,73.62,,-0.66%
29/2/2008,73.71,73.83,73.89,73.56,,-0.01%
3/3/2008,73.7,73.75,73.78,73.62,,-0.01%
4/3/2008,73.66,73.74,73.78,73.48,,-0.05%
5/3/2008,73.48,73.72,73.95,73.37,,-0.24%
6/3/2008,73,73.43,73.47,72.86,,-0.65%
7/3/2008,73.03,72.88,73.17,72.46,,0.04%
10/3/2008,72.99,72.99,73.09,72.76,,-0.05%
11/3/2008,73.28,73,73.4,72.47,,0.40%
12/3/2008,72.4,73.19,73.2,72.2,,-1.20%
13/3/2008,72.07,72.29,72.36,71.8,,-0.46%
14/3/2008,71.66,71.93,72.28,71.58,,-0.57%
17/3/2008,71.46,71.63,71.69,70.7,,-0.28%
18/3/2008,71.57,71.51,71.96,71.04,,0.15%
19/3/2008,72.14,71.91,72.23,71.25,,0.80%
20/3/2008,72.75,72.02,72.92,71.98,,0.85%
24/3/2008,72.95,72.78,73.19,72.77,,0.27%
25/3/2008,72.28,72.94,72.97,72.02,,-0.92%
26/3/2008,71.51,72.13,72.31,71.33,,-1.07%
27/3/2008,71.66,71.38,71.81,71.33,,0.21%
28/3/2008,71.68,71.59,71.84,71.48,,0.03%
31/3/2008,71.8,71.61,71.88,71.35,,0.17%
1/4/2008,72.56,71.87,72.74,71.74,,1.06%
2/4/2008,72.26,72.54,72.8,72.18,,-0.41%
3/4/2008,72.22,72.27,72.84,72.13,,-0.06%
4/4/2008,72.02,72.19,72.32,71.8,,-0.28%
7/4/2008,72.2,71.98,72.43,71.93,,0.25%
8/4/2008,72.23,72.19,72.38,71.85,,0.04%
9/4/2008,71.83,72.37,72.39,71.69,,-0.55%
10/4/2008,72.12,71.88,72.19,71.42,,0.40%
11/4/2008,71.81,72.12,72.17,71.7,,-0.43%
14/4/2008,71.88,72.36,72.38,71.49,,0.10%
15/4/2008,72.02,71.8,72.16,71.65,,0.19%
16/4/2008,71.41,72.06,72.09,71.28,,-0.85%
17/4/2008,71.68,71.45,71.78,71.3,,0.38%
18/4/2008,72.01,71.62,72.41,71.39,,0.46%
21/4/2008,71.65,71.98,72.03,71.5,,-0.50%
22/4/2008,71.33,71.69,71.92,71.19,,-0.45%
23/4/2008,71.82,71.33,71.95,71.32,,0.69%
24/4/2008,72.53,71.85,72.72,71.83,,0.99%
25/4/2008,72.79,72.54,73.03,72.45,,0.36%
28/4/2008,72.79,72.73,72.79,72.44,,0.00%
29/4/2008,72.89,72.56,72.94,72.51,,0.14%
30/4/2008,72.51,72.86,73.11,72.49,,-0.52%
1/5/2008,73.28,72.57,73.39,72.5,,1.06%
2/5/2008,73.5,73.2,73.7,73.11,,0.30%
5/5/2008,73.19,73.46,73.54,73.11,,-0.42%
6/5/2008,73,73.18,73.34,72.73,,-0.26%
7/5/2008,73.51,72.98,73.65,72.97,,0.70%
8/5/2008,73.48,73.52,73.89,73.24,,-0.04%
9/5/2008,73.05,73.46,73.48,73.03,,-0.59%
12/5/2008,72.95,73.06,73.52,72.79,,-0.14%
13/5/2008,73.27,72.92,73.43,72.86,,0.44%
14/5/2008,73.4,73.28,73.62,73.24,,0.18%
15/5/2008,73.35,73.33,73.51,73.03,,-0.07%
16/5/2008,72.84,73.34,73.39,72.69,,-0.70%
19/5/2008,73.05,72.81,73.17,72.55,,0.29%
20/5/2008,72.41,72.99,73.08,72.35,,-0.88%
21/5/2008,71.94,72.45,72.49,71.88,,-0.65%
22/5/2008,72.28,71.91,72.31,71.82,,0.47%
23/5/2008,71.89,72.13,72.29,71.85,,-0.54%
26/5/2008,71.89,71.98,72.1,71.88,,0.00%
27/5/2008,72.34,71.99,72.4,71.84,,0.63%
28/5/2008,72.55,72.36,72.75,72.1,,0.29%
29/5/2008,73.02,72.5,73.13,72.44,,0.65%
30/5/2008,72.88,73.02,73.22,72.84,,-0.19%
2/6/2008,72.93,72.87,73.15,72.74,,0.07%
3/6/2008,73.24,72.91,73.5,72.57,,0.43%
4/6/2008,73.42,73.36,73.52,73.2,,0.25%
5/6/2008,73.04,73.49,73.87,73,,-0.52%
6/6/2008,72.39,73.07,73.16,72.34,,-0.89%
9/6/2008,72.85,72.29,72.98,72.13,,0.64%
10/6/2008,73.7,72.87,73.73,72.84,,1.17%
11/6/2008,73.21,73.66,73.71,73.09,,-0.66%
12/6/2008,73.86,73.26,74.04,73.21,,0.89%
13/6/2008,74.15,73.78,74.31,73.7,,0.39%
16/6/2008,73.61,74.01,74.18,73.45,,-0.73%
17/6/2008,73.51,73.64,73.72,73.32,,-0.14%
18/6/2008,73.44,73.51,73.77,73.39,,-0.10%
19/6/2008,73.48,73.4,73.59,73.2,,0.05%
20/6/2008,73.03,73.47,73.52,72.93,,-0.61%
23/6/2008,73.43,73.07,73.65,72.98,,0.55%
24/6/2008,73.24,73.43,73.58,73.04,,-0.26%
25/6/2008,72.93,73.25,73.4,72.83,,-0.42%
26/6/2008,72.49,72.91,73.08,72.45,,-0.60%
27/6/2008,72.36,72.53,72.64,72.27,,-0.18%
30/6/2008,72.46,72.33,72.57,72.04,,0.14%
